[10:46:51:081 @31 main: Data loading: started
[10:46:51:090 @48 main: Hotels loading: started
[10:46:51:150 @29 main: File path is input/hotels/hotels.json
[10:46:51:327 @41 main: Hotel files are parsed. Number of hotels is 157
[10:46:51:329 @53 main: Hotels loading: done
[10:46:51:332 @57 main: Threads number: 3
[10:46:51:332 @60 main: Reviews loading: started
[10:46:51:338 @111 main: Worker working on input/reviews finished work
[10:46:51:342 @111 main: Worker working on input/reviews/SanCarlos finished work
[10:46:51:342 @54 pool-2-thread-1: File path is input/reviews/SanCarlos/review200649.json
[10:46:51:343 @54 pool-2-thread-2: File path is input/reviews/SanCarlos/review14781.json
[10:46:51:344 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review919198.json
[10:46:51:356 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review912982.json
[10:46:51:356 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review662368.json
[10:46:51:356 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review4432027.json
[10:46:51:359 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review1606984.json
[10:46:51:359 @111 main: Worker working on input/reviews/SanFrancisco finished work
[10:46:51:362 @111 main: Worker working on input/reviews/SanFrancisco/SFOAirport finished work
[10:46:51:365 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review533579.json
[10:46:51:368 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review1321986.json
[10:46:51:369 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review50993.json
[10:46:51:370 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review5830.json
[10:46:51:375 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review476728.json
[10:46:51:379 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review20701.json
[10:46:51:381 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review910225.json
[10:46:51:385 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review2336.json
[10:46:51:390 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review22510.json
[10:46:51:392 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review26945.json
[10:46:51:395 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review11509.json
[10:46:51:398 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review8090040.json
[10:46:51:399 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review23383.json
[10:46:51:399 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review51116.json
[10:46:51:401 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review1145267.json
[10:46:51:407 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review7713.json
[10:46:51:408 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review918527.json
[10:46:51:411 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review6505.json
[10:46:51:413 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review904482.json
[10:46:51:416 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review18437.json
[10:46:51:368 @111 main: Worker working on input/reviews/SanFrancisco/Hostels finished work
[10:46:51:422 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review881699.json
[10:46:51:422 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review12539.json
[10:46:51:424 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review12493.json
[10:46:51:426 @111 main: Worker working on input/reviews/SanFrancisco/UnionSq finished work
[10:46:51:430 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review1515923.json
[10:46:51:430 @54 pool-2-thread-1: File path is input/reviews/SanFrancisco/review522505.json
[10:46:51:434 @54 pool-2-thread-2: File path is input/reviews/SanFrancisco/review18200.json
[10:46:51:436 @54 pool-2-thread-3: File path is input/reviews/SanFrancisco/review876315.json
