[19:14:32:655 @31 main: Data loading: started
[19:14:32:716 @48 main: Hotels loading: started
[19:14:33:050 @29 main: File path is ./../../../input/hotels/hotels.json
[19:14:33:352 @41 main: Hotel files are parsed. Number of hotels is 157
[19:14:33:354 @53 main: Hotels loading: done
[19:14:33:405 @57 main: Threads number: 1
[19:14:33:420 @60 main: Reviews loading: started
[19:14:33:685 @111 main: Worker working on ./../../../input/reviews finished work
[19:14:33:691 @111 main: Worker working on ./../../../input/reviews/SanCarlos finished work
[19:14:33:693 @54 pool-2-thread-1: File path is ./../../../input/reviews/SanCarlos/review200649.json
[19:14:33:722 @54 pool-2-thread-1: File path is ./../../../input/reviews/SanCarlos/review14781.json
[19:14:33:780 @54 pool-2-thread-1: File path is ./../../../input/reviews/SanFrancisco/review919198.json
[19:14:33:781 @111 main: Worker working on ./../../../input/reviews/SanFrancisco finished work
[19:14:33:850 @111 main: Worker working on ./../../../input/reviews/SanFrancisco/SFOAirport finished work
[19:14:33:852 @111 main: Worker working on ./../../../input/reviews/SanFrancisco/Hostels finished work
[19:14:33:921 @111 main: Worker working on ./../../../input/reviews/SanFrancisco/UnionSq finished work
[19:14:33:946 @54 pool-2-thread-1: File path is ./../../../input/reviews/SanFrancisco/review912982.json
[19:14:33:955 @111 main: Worker working on ./../../../input/reviews/SanFrancisco/FishermansWharf finished work
[19:14:33:956 @111 main: Worker working on ./../../../input/reviews/SanFrancisco/FinancialDistrict finished work
[19:14:33:971 @54 pool-2-thread-1: File path is ./../../../input/reviews/SanFrancisco/review4432027.json
[19:14:33:979 @54 pool-2-thread-1: File path is ./../../../input/reviews/SanFrancisco/review662368.json
[19:14:33:966 @111 main: Worker working on ./../../../input/reviews/Emeryville finished work
[19:14:33:988 @54 pool-2-thread-1: File path is ./../../../input/reviews/SanFrancisco/review1606984.json
[19:14:34:004 @54 pool-2-thread-1: File path is ./../../../input/reviews/SanFrancisco/review533579.json
[19:14:34:012 @54 pool-2-thread-1: File path is ./../../../input/reviews/SanFrancisco/review1321986.json
[19:14:34:027 @54 pool-2-thread-1: File path is ./../../../input/reviews/SanFrancisco/review50993.json
[19:14:34:042 @54 pool-2-thread-1: File path is ./../../../input/reviews/SanFrancisco/review5830.json
[19:14:34:057 @54 pool-2-thread-1: File path is ./../../../input/reviews/SanFrancisco/review476728.json
[19:14:34:280 @54 pool-2-thread-1: File path is ./../../../input/reviews/SanFrancisco/review20701.json
[19:14:34:414 @54 pool-2-thread-1: File path is ./../../../input/reviews/SanFrancisco/review910225.json
[19:14:34:482 @54 pool-2-thread-1: File path is ./../../../input/reviews/SanFrancisco/review2336.json
[19:14:34:514 @54 pool-2-thread-1: File path is ./../../../input/reviews/SanFrancisco/review22510.json
[19:14:34:524 @54 pool-2-thread-1: File path is ./../../../input/reviews/SanFrancisco/review26945.json
[19:14:34:562 @54 pool-2-thread-1: File path is ./../../../input/reviews/SanFrancisco/review11509.json
[19:14:34:685 @54 pool-2-thread-1: File path is ./../../../input/reviews/SanFrancisco/review8090040.json
[19:14:34:689 @54 pool-2-thread-1: File path is ./../../../input/reviews/SanFrancisco/review23383.json
[19:14:34:714 @54 pool-2-thread-1: File path is ./../../../input/reviews/SanFrancisco/review51116.json
